TimeStamp,Value
20221002205055,19.561195373535156
20221002205056,28.250062465667725
20221002205057,18.277287483215332
20221002205058,16.968846321105957
20221002205059,36.40328645706177
20221002205100,43.791890144348145
20221002205101,27.882063388824463
20221002205102,28.724372386932373
20221002205103,22.04723358154297
20221002205104,25.82535743713379
20221002205105,24.09576177597046
20221002205106,26.982510089874268
20221002205107,35.7408881187439
20221002205108,29.292726516723633
20221002205109,26.181089878082275
20221002205110,30.26179075241089
20221002205111,28.981971740722656
20221002205112,28.96970510482788
20221002205113,35.033512115478516
20221002205114,29.76703643798828
20221002205115,35.029423236846924
20221002205116,29.268193244934082
20221002205117,24.98713731765747
